userName,score,at,content
MUHAMAD Surya,1,2026-04-30 11:12:14,lama banget ngirim kodenya
Tuti Deke,1,2026-04-29 14:36:35,"susah ,sebagian daerahnya TDK ada jadi ingin isi domisil jadi TDK sesuai dengan yang ada di ktp"
Andi Kurniawan,1,2026-04-29 01:40:36,minta tolong cara meriset akunnya ke gimna?
FURIL CELL,1,2026-04-29 01:29:59,"sudah apply lebih dari 5 perusahaan berbeda tp tidak berubah, masih tetap sama, gimana ini aplikasinya"
Ardi Winata,1,2026-04-28 10:09:41,"yakinlah anggarannya pasti miliaran,, hasilnya aplikasi GK guna"
Muhamad Ade Hasbhi Ash Shidiqi,3,2026-04-28 04:02:18,"aplikasi pemerintah ko susa yaa pdhal daftar udahh bener malahh gabisa"" aneh nih tolong diperbaiki lgi dong"
Bambang Irawan,1,2026-04-28 03:07:02,kode otp tidak masuk. tolonglah kebiasaan jangan diualang ulang
Khamim Nursidik,1,2026-04-27 16:56:58,"aplikasi paling tolol bisanya mempromosikan web doang di lempar lempar sana sini sana sini. kalo bikin terstruktur jelas kaya program bkk, situ bikin aplikasi di danai pemerintah uang dari rakyat tapi hasilnya ga jelas hapus aja ga guna"
SEFTIAN DONY PRATAMA,1,2026-04-27 09:52:18,"jelek sekali ini yang buat, saya sudah update bio setelah saya download tetapi dengan bio lama, apa apaan ini, pecat aja yant buat aplikasi tidak becus"
ahmad hidayatullah,1,2026-04-27 05:05:49,"baru download buat daftar kartu kuning, langsung banyak kendala. OTP ga masuk SAYA AKAN MINTA PERTANGGUNG JAWABAN ANDA DI AKHIRAT."
Julian Maulani,1,2026-04-27 05:00:50,sering error gak ada niat untuk rakyat
Gilang Akbar,1,2026-04-27 04:14:39,mengecewakan
YUSU FF,1,2026-04-27 03:52:04,apk jembod mao pembaharuan email susahny minta amponn ngabis2n anggaran doang IT ny
fadil nugraha,1,2026-04-27 02:38:09,KODE OTP NYA GAK MASUK MASUK GIMANA SIH
Muhamad Toha,1,2026-04-26 23:48:30,aplikasi error atau apa ini 5 misi lowongan tetap tidak berubah..JKP claim manfaat ke 6 belum juga di cairkan sudah dr 2 bulan ini..upaya lewat bantuan/email pun belum ada respon..tolong perhatikan
Ceng Zang2,3,2026-04-26 11:25:48,masa kecamatan saya gak ada di lokasinya
Ali,1,2026-04-25 23:25:40,"minta swasta aja yg ngelola, ga becus pemerintah kalo ngelola apk ini, ada bug g diperbaiki"
Nabilla Putri,5,2026-04-25 06:28:20,blm ada pengalaman
